image_filename,region_id,gt_text,raw_pred_text,post_processed_text,cer_raw,wer_raw,cer_post,wer_post,iou_with_best,matched_conf,source
814-1-1200_page1.png,KpnDJBdeNF,Owners',Owners',Owners',0,0,0,0,0.789031402,0.991217698,processed_horiz
814-1-1200_page1.png,zOZKPwZZ-7,Suite,Suite,Suite,0,0,0,0,0.851931089,0.999974943,raw_horiz
814-1-1200_page1.png,QbYekbQhpw,12' x 16',12'*16',12' x 16',0.333333333,1,0,0,0.860986232,0.621145747,processed_horiz
814-1-1200_page1.png,T4yUwsisnd,Dining,Dining,DINING,0,0,0,0,0.809968847,0.99999416,processed_horiz
814-1-1200_page1.png,pqo3wAJVSu,"10' x 9'4""","10' * 94""","10' x 94""",0.2,0.666666667,0.1,0.333333333,0.866537718,0.556139797,processed_horiz
814-1-1200_page1.png,MSqA6hZENl,Living,Living,DINING,0,0,0,0,0.812436125,0.999998248,raw_horiz
814-1-1200_page1.png,9yfVjLAg4x,"12'4"" x 16'6""","12'4""x166""","12'4"" x 166""",0.230769231,1,0.076923077,0.333333333,0.773830912,0.568044544,processed_horiz
814-1-1200_page1.png,y3Trgpf1oy,Bedroom,Bedroom,MUDROOM,0,0,0,0,0.942314669,0.999953771,raw_horiz
814-1-1200_page1.png,jWIxEXJobl,10' x 10',10' x 10',10' x 10',0,0,0,0,0.860082305,0.719059271,raw_horiz
814-1-1200_page1.png,kI_dlGllfJ,Kitchen,Kitchen,KITCHEN,0,0,0,0,0.841150934,0.995982462,raw_horiz
814-1-1200_page1.png,qL_DdUCEwj,9'4'' x,"94"" X","94"" x",0.428571429,0.5,0.166666667,0.5,0.855367461,0.478355629,raw_horiz
814-1-1200_page1.png,P9qNpabnuZ,"10'4""","10'4""","10'4""",0,0,0,0,0.791607481,0.997947932,processed_horiz
814-1-1200_page1.png,NhzWAnat7-,Bedroom/Den,Bedroom/Den,Bedroom/Den,0,0,0,0,0.893737822,0.854933497,raw_horiz
814-1-1200_page1.png,Eb_uhRreOK,10' x 10',10'X10',10' x 10',0.222222222,1,0,0,0.804741609,0.596636413,processed_horiz
