epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,134.143,1.30101,2.44553,7.21017,1.23216,0,0.53398,0.4105,0.39097,0.25291,0.26941,0.11176,0.08594,0.04105,1.47537,22.2412,6.87577,1.35133,0,9.90099e-05,9.90099e-05,0.090198
2,233.208,1.05056,1.69489,4.15852,1.04674,0,0.54812,0.549,0.5589,0.37649,0.20771,0.17833,0.16185,0.06387,1.30488,16.8659,5.31198,1.24403,0,0.000198025,0.000198025,0.080297
3,334.887,1.02733,1.56181,3.84357,1.0317,0,0.64304,0.72235,0.69914,0.5227,0.37742,0.36463,0.34795,0.15789,1.14367,3.50292,4.27664,1.12683,0,0.00029605,0.00029605,0.0703951
4,436.669,1.01502,1.53093,3.68624,1.03159,0,0.72494,0.73208,0.7607,0.57953,0.67689,0.68809,0.68146,0.38745,1.11572,2.24812,3.67775,1.11845,0,0.000393085,0.000393085,0.0604921
5,536.643,0.99797,1.44092,3.4923,1.01941,0,0.71301,0.72764,0.76316,0.56429,0.69252,0.71142,0.73523,0.4723,1.18263,1.78871,4.11355,1.13148,0,0.00048913,0.00048913,0.0505881
6,635.425,1.006,1.42826,3.47773,1.02996,0,0.73597,0.7653,0.78919,0.60111,0.71144,0.7338,0.73807,0.47495,1.1155,1.72402,3.65359,1.12461,0,0.000584184,0.000584184,0.0406832
7,735.66,0.98575,1.4344,3.33562,1.01796,0,0.76489,0.73863,0.79012,0.60399,0.7661,0.7212,0.77854,0.52749,1.10154,1.51799,3.4894,1.10516,0,0.000678249,0.000678249,0.0307773
8,835.918,0.97943,1.4066,3.23828,1.01851,0,0.74608,0.73099,0.79262,0.61948,0.73325,0.71372,0.77175,0.52195,1.11195,1.56238,3.66041,1.10973,0,0.000771324,0.000771324,0.0208703
9,934.872,0.97177,1.37745,3.22889,1.00888,0,0.68928,0.68361,0.70923,0.54669,0.67171,0.63986,0.67524,0.43694,1.15206,1.96783,3.95198,1.11925,0,0.000863409,0.000863409,0.0109624
10,1034.66,0.98113,1.3807,3.2223,1.01458,0,0.62024,0.5983,0.62759,0.47248,0.60275,0.58045,0.60145,0.3842,1.13644,1.78095,4.59706,1.12634,0,0.000954504,0.000954504,0.00105351
11,1134.12,0.97131,1.36763,3.22575,1.01431,0,0.80468,0.81894,0.86031,0.66888,0.81198,0.81135,0.85662,0.60398,1.05371,1.44556,3.27743,1.06477,0,0.0009505,0.0009505,0.0009505
12,1233.29,0.94735,1.34105,3.00673,0.99699,0,0.8244,0.80774,0.85999,0.68399,0.81011,0.7978,0.84792,0.57797,1.08229,1.55481,3.21032,1.07801,0,0.00094555,0.00094555,0.00094555
13,1331.93,0.93478,1.32072,2.97145,0.99094,0,0.7949,0.81521,0.85142,0.66965,0.78832,0.79266,0.83366,0.58424,1.07956,1.569,3.17766,1.08132,0,0.0009406,0.0009406,0.0009406
14,1431.26,0.91425,1.29186,2.92434,0.98792,0,0.74235,0.7362,0.7767,0.6212,0.72269,0.72011,0.75524,0.5274,1.07825,1.52112,3.42602,1.06486,0,0.00093565,0.00093565,0.00093565
15,1530.9,0.92953,1.2932,2.87388,0.98627,0,0.85019,0.80377,0.87143,0.69641,0.84694,0.79069,0.86303,0.62606,1.03946,1.44224,3.06404,1.05335,0,0.0009307,0.0009307,0.0009307
16,1629.99,0.9222,1.31208,2.8713,0.9843,0,0.75949,0.74241,0.79945,0.62894,0.76275,0.71924,0.7791,0.51728,1.07807,1.6161,3.52076,1.08238,0,0.00092575,0.00092575,0.00092575
17,1731.58,0.92484,1.29565,2.88702,0.99289,0,0.81936,0.85849,0.88946,0.71798,0.8087,0.85827,0.87836,0.63295,1.0326,1.41822,3.09409,1.08026,0,0.0009208,0.0009208,0.0009208
18,1831.52,0.91768,1.27899,2.85169,0.98533,0,0.77487,0.76319,0.81831,0.64149,0.79461,0.72447,0.79428,0.53422,1.07046,1.50062,3.27487,1.08171,0,0.00091585,0.00091585,0.00091585
19,1930.02,0.90872,1.27202,2.79242,0.97981,0,0.81919,0.82906,0.85988,0.71425,0.82362,0.8195,0.8558,0.62799,0.98857,1.39015,2.90272,1.03835,0,0.0009109,0.0009109,0.0009109
20,2030.05,0.88756,1.25753,2.76867,0.97639,0,0.79913,0.75722,0.82473,0.67141,0.78614,0.74393,0.80356,0.57728,1.05779,1.58468,3.18379,1.03936,0,0.00090595,0.00090595,0.00090595
21,2129.96,0.87608,1.19289,2.67503,0.96721,0,0.8447,0.85034,0.89705,0.72006,0.83091,0.82955,0.87162,0.62637,1.07674,1.43767,2.9475,1.07532,0,0.000901,0.000901,0.000901
22,2227.99,0.87183,1.1978,2.59971,0.96627,0,0.66925,0.7263,0.73569,0.5759,0.65202,0.72054,0.71826,0.47789,1.07844,1.56563,3.8114,1.06864,0,0.00089605,0.00089605,0.00089605
23,2327.41,0.88327,1.24298,2.65033,0.96337,0,0.80299,0.80472,0.84139,0.67281,0.79584,0.77086,0.81548,0.56645,1.03411,1.52359,3.07369,1.03574,0,0.0008911,0.0008911,0.0008911
24,2427.25,0.86919,1.23029,2.63872,0.9621,0,0.8054,0.85781,0.87794,0.7231,0.78701,0.84532,0.86448,0.63291,0.97195,1.37132,2.87882,1.02622,0,0.00088615,0.00088615,0.00088615
25,2526.19,0.86109,1.22668,2.59727,0.96096,0,0.82522,0.86781,0.88264,0.71963,0.82357,0.84372,0.86991,0.64427,1.02795,1.40639,2.81731,1.04211,0,0.0008812,0.0008812,0.0008812
26,2624.08,0.84853,1.18738,2.53723,0.95604,0,0.85693,0.81753,0.88004,0.72048,0.8049,0.85565,0.86501,0.62968,1.01081,1.34552,2.8615,1.046,0,0.00087625,0.00087625,0.00087625
27,2724.9,0.85293,1.20226,2.52526,0.9581,0,0.83089,0.8481,0.86489,0.71036,0.81268,0.83079,0.8447,0.62894,0.98253,1.33349,2.85906,1.01989,0,0.0008713,0.0008713,0.0008713
28,2823.81,0.83743,1.16208,2.50233,0.95249,0,0.85229,0.83546,0.87035,0.71977,0.8414,0.82586,0.85981,0.63308,0.98704,1.37748,2.77653,1.02339,0,0.00086635,0.00086635,0.00086635
29,2925.23,0.82979,1.16216,2.44005,0.94581,0,0.82014,0.86531,0.883,0.7388,0.81865,0.83371,0.86505,0.64498,0.98242,1.40761,2.68678,1.02488,0,0.0008614,0.0008614,0.0008614
30,3024.44,0.83077,1.17134,2.44062,0.94762,0,0.85897,0.85653,0.89347,0.73568,0.84255,0.84074,0.87457,0.64734,0.99584,1.33756,2.77642,1.02049,0,0.00085645,0.00085645,0.00085645
31,3125.98,0.83072,1.15508,2.42198,0.94791,0,0.8679,0.8315,0.88858,0.745,0.85635,0.81858,0.86911,0.63799,0.95827,1.31081,2.71308,1.0122,0,0.0008515,0.0008515,0.0008515
32,3226.64,0.83097,1.14096,2.41796,0.94493,0,0.85175,0.82901,0.87554,0.7435,0.84363,0.8129,0.86708,0.65686,0.94286,1.29952,2.76493,1.01289,0,0.00084655,0.00084655,0.00084655
33,3325.68,0.82505,1.15325,2.39915,0.94473,0,0.80361,0.87343,0.87016,0.72288,0.7946,0.86231,0.85562,0.62855,0.9876,1.32835,2.79951,1.00862,0,0.0008416,0.0008416,0.0008416
34,3425.12,0.82535,1.17121,2.41736,0.94593,0,0.86795,0.84743,0.87684,0.73086,0.86234,0.82939,0.86376,0.64864,0.97823,1.29961,2.72829,1.01471,0,0.00083665,0.00083665,0.00083665
35,3524.7,0.82614,1.15251,2.36955,0.94411,0,0.84179,0.8826,0.89947,0.76002,0.82554,0.86862,0.88314,0.6704,0.93671,1.29727,2.62993,0.99308,0,0.0008317,0.0008317,0.0008317
36,3624.27,0.82639,1.15146,2.39569,0.94141,0,0.83607,0.88102,0.89054,0.72987,0.82355,0.86651,0.87606,0.63044,0.98321,1.40768,2.68602,1.02151,0,0.00082675,0.00082675,0.00082675
37,3721.96,0.81824,1.13303,2.34274,0.94344,0,0.8325,0.87623,0.87093,0.72368,0.81413,0.86007,0.85282,0.62682,0.99337,1.24374,2.67238,1.01553,0,0.0008218,0.0008218,0.0008218
38,3821.19,0.81498,1.12172,2.34303,0.94431,0,0.87832,0.86912,0.89236,0.75264,0.87145,0.84735,0.87178,0.65651,0.92085,1.27307,2.59426,0.99862,0,0.00081685,0.00081685,0.00081685
39,3919.62,0.81735,1.12444,2.35635,0.93969,0,0.83289,0.87128,0.88952,0.74527,0.81337,0.85211,0.86797,0.64579,0.94921,1.3911,2.66592,1.00078,0,0.0008119,0.0008119,0.0008119
40,4019.69,0.81437,1.08863,2.28375,0.93636,0,0.74894,0.71458,0.74645,0.61234,0.73187,0.70078,0.73118,0.50787,0.99585,1.47425,3.62971,1.02683,0,0.00080695,0.00080695,0.00080695
41,4121.1,0.79129,1.0906,2.26492,0.93307,0,0.84593,0.85061,0.8818,0.7447,0.84104,0.83051,0.86296,0.64477,0.94777,1.3673,2.64274,1.00447,0,0.000802,0.000802,0.000802
42,4219.62,0.80171,1.11151,2.28312,0.93149,0,0.88771,0.84016,0.89387,0.76169,0.87735,0.82392,0.8792,0.66424,0.93988,1.28066,2.55794,0.98692,0,0.00079705,0.00079705,0.00079705
43,4320.56,0.78279,1.06915,2.22985,0.93311,0,0.86109,0.85748,0.89356,0.75379,0.84017,0.84033,0.87645,0.65517,0.96479,1.32173,2.66667,1.01676,0,0.0007921,0.0007921,0.0007921
44,4421.66,0.7864,1.08342,2.2234,0.92786,0,0.8501,0.87103,0.89974,0.75389,0.83944,0.84989,0.88053,0.66212,0.95583,1.32492,2.58612,1.01156,0,0.00078715,0.00078715,0.00078715
45,4521.85,0.79989,1.12047,2.25949,0.93304,0,0.84924,0.83115,0.88061,0.74325,0.84417,0.81141,0.87008,0.64704,0.94323,1.45334,2.74458,1.01438,0,0.0007822,0.0007822,0.0007822
