epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,108.663,1.41728,2.72236,8.21683,1.29877,0,0.42022,0.13313,0.12748,0.06949,0.27236,0.01526,0.0029,0.00063,1.90262,15.2557,10.4826,1.73358,0,9.84848e-05,9.84848e-05,0.09025
2,175.381,1.11262,1.80032,4.5683,1.06133,0,0.50154,0.57263,0.56298,0.36838,0.35144,0.45793,0.35928,0.16279,1.35298,2.92908,6.25029,1.23729,0,0.000197502,0.000197502,0.080349
3,244.967,1.08848,1.71937,4.0917,1.04396,0,0.6593,0.65193,0.70346,0.5176,0.25538,0.21185,0.18102,0.07247,1.14807,7.76299,4.40924,1.13216,0,0.00029553,0.00029553,0.070447
4,316.098,1.0747,1.68009,3.97245,1.03486,0,0.69465,0.7161,0.72454,0.56108,0.67585,0.69422,0.69258,0.42602,1.11917,2.00541,4.34119,1.13272,0,0.000392567,0.000392567,0.0605441
5,385.728,1.0548,1.58414,3.71946,1.0319,0,0.67495,0.75629,0.75215,0.56893,0.62752,0.68718,0.66462,0.43428,1.11374,1.97197,4.11566,1.13561,0,0.000488615,0.000488615,0.0506401
6,455.094,1.04477,1.55989,3.69982,1.03402,0,0.77229,0.77155,0.83097,0.63674,0.75579,0.75496,0.81243,0.53865,1.11405,1.66824,3.78935,1.11631,0,0.000583672,0.000583672,0.0407352
7,525.328,1.0413,1.49399,3.58703,1.02924,0,0.73325,0.74968,0.80083,0.58833,0.719,0.73575,0.78341,0.48811,1.20719,1.81096,3.97954,1.16695,0,0.00067774,0.00067774,0.0308293
8,596.082,1.05872,1.52058,3.5524,1.03655,0,0.79381,0.73545,0.80111,0.60779,0.78174,0.722,0.78216,0.51352,1.1183,1.72926,3.70365,1.09842,0,0.000770817,0.000770817,0.0209223
9,666.695,1.04649,1.51088,3.49168,1.03205,0,0.75439,0.76309,0.8021,0.62027,0.72067,0.7517,0.77201,0.49276,1.16966,1.70382,3.66834,1.13769,0,0.000862905,0.000862905,0.0110144
10,737.635,1.01477,1.4513,3.33817,1.01544,0,0.73427,0.76614,0.79473,0.6064,0.71721,0.73953,0.76368,0.48259,1.1276,1.73206,3.96213,1.1092,0,0.000954002,0.000954002,0.00110552
11,809.395,1.01926,1.44956,3.38291,1.02179,0,0.74437,0.7819,0.81031,0.61666,0.73819,0.76852,0.79024,0.52926,1.11957,1.55471,3.71506,1.12777,0,0.0009505,0.0009505,0.0009505
12,878.277,1.0252,1.45345,3.35794,1.02019,0,0.80476,0.81421,0.8506,0.66701,0.79297,0.7973,0.83284,0.58564,1.09089,1.53211,3.27524,1.0945,0,0.00094555,0.00094555,0.00094555
13,947.918,0.98764,1.39465,3.23599,1.00725,0,0.78098,0.77753,0.84707,0.66067,0.77215,0.77039,0.83031,0.58775,1.09037,1.52155,3.39166,1.09912,0,0.0009406,0.0009406,0.0009406
14,1015.81,0.99368,1.41019,3.17655,1.0036,0,0.80583,0.79215,0.85253,0.6705,0.79599,0.78175,0.84008,0.57747,1.06664,1.46995,3.34576,1.09677,0,0.00093565,0.00093565,0.00093565
15,1085.79,0.98231,1.40613,3.10195,1.00286,0,0.8292,0.84371,0.88207,0.70609,0.81074,0.82533,0.86096,0.61481,1.0508,1.51921,3.09909,1.08813,0,0.0009307,0.0009307,0.0009307
16,1154.89,0.97045,1.35746,3.06491,0.99844,0,0.81899,0.8022,0.85647,0.66672,0.80101,0.78683,0.8309,0.58552,1.10278,1.4972,3.28975,1.08559,0,0.00092575,0.00092575,0.00092575
17,1222.68,0.9719,1.36009,3.06061,0.99636,0,0.76832,0.78599,0.81335,0.63857,0.75739,0.76377,0.79104,0.53044,1.08582,1.52413,3.29436,1.0947,0,0.0009208,0.0009208,0.0009208
18,1290.69,0.96515,1.37164,3.04987,1.00008,0,0.7514,0.80272,0.82115,0.65865,0.7361,0.78361,0.80352,0.57504,1.05959,1.46676,3.3104,1.07485,0,0.00091585,0.00091585,0.00091585
19,1361.18,0.96811,1.39071,2.99394,0.99403,0,0.80492,0.80662,0.86039,0.6946,0.78588,0.77615,0.84001,0.58896,1.09956,1.5419,3.16787,1.08668,0,0.0009109,0.0009109,0.0009109
20,1430.1,0.95438,1.34344,3.01129,0.99442,0,0.76758,0.80651,0.83477,0.66332,0.7602,0.79382,0.81856,0.57914,1.06557,1.41006,3.30599,1.07892,0,0.00090595,0.00090595,0.00090595
21,1498.55,0.96609,1.35995,2.96348,0.99318,0,0.77654,0.74231,0.79245,0.61829,0.76995,0.73159,0.7875,0.53803,1.13984,1.53128,3.53511,1.11248,0,0.000901,0.000901,0.000901
22,1569.82,0.94389,1.34853,2.95541,0.98217,0,0.76878,0.7896,0.82775,0.67204,0.75295,0.77384,0.80559,0.56446,1.0109,1.39565,3.09488,1.06198,0,0.00089605,0.00089605,0.00089605
23,1638.06,0.92956,1.29922,2.86588,0.97848,0,0.80997,0.80677,0.8577,0.6927,0.80015,0.79114,0.84285,0.60526,1.03931,1.46896,3.03988,1.06606,0,0.0008911,0.0008911,0.0008911
24,1707.23,0.92472,1.31789,2.83044,0.97551,0,0.8169,0.84789,0.86517,0.70937,0.80999,0.82967,0.84449,0.61526,1.01285,1.44676,2.92164,1.05155,0,0.00088615,0.00088615,0.00088615
25,1776.59,0.92526,1.29445,2.84984,0.9769,0,0.83931,0.78731,0.86025,0.70867,0.83943,0.77914,0.85062,0.63193,0.981,1.37323,3.06414,1.0404,0,0.0008812,0.0008812,0.0008812
26,1846.74,0.94051,1.28057,2.85594,0.98147,0,0.77837,0.77497,0.83212,0.66638,0.76424,0.74982,0.80936,0.57675,1.07144,1.42448,3.26234,1.05634,0,0.00087625,0.00087625,0.00087625
27,1917.55,0.94808,1.33132,2.88618,0.98336,0,0.78169,0.81896,0.83441,0.67911,0.82392,0.76061,0.81863,0.59753,1.00574,1.34381,2.92385,1.0408,0,0.0008713,0.0008713,0.0008713
28,1987.17,0.91679,1.29348,2.75217,0.97671,0,0.81401,0.8309,0.84919,0.70119,0.79794,0.81504,0.82686,0.604,1.02083,1.35223,2.92906,1.04589,0,0.00086635,0.00086635,0.00086635
