epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5502,2.09572,3.60776,11.8658,1.39822,0,0.28856,0.21648,0.18874,0.08141,0.07407,0.0146,0.03892,0.00767,2.44695,19.3089,19.783,1.63561,0,9.33333e-05,9.33333e-05,0.09076
2,62.0062,1.28899,1.95913,4.90268,1.02529,0,0.52667,0.27722,0.34961,0.18826,0.39651,0.04579,0.02493,0.00781,1.80225,61.0308,11.9592,1.21201,0,0.000192695,0.000192695,0.0808594
3,76.746,1.18481,1.84336,4.01685,0.97224,0,0.61231,0.67868,0.62043,0.34862,0.32502,0.29284,0.18365,0.05997,1.30885,14.3372,5.42491,1.03112,0,0.000291397,0.000291397,0.0709581
4,93.4232,1.11039,1.5783,3.46905,0.94394,0,0.80985,0.76246,0.84357,0.56093,0.72759,0.6576,0.67029,0.28697,1.04384,1.95523,3.62182,0.93899,0,0.000389439,0.000389439,0.0610561
5,109.33,1.11296,1.68656,3.35486,0.93905,0,0.8793,0.78523,0.87508,0.60173,0.81185,0.70677,0.75155,0.33515,0.98622,1.5715,3.12539,0.94645,0,0.000486821,0.000486821,0.0511535
6,125.542,1.13348,1.59839,3.21805,0.91585,0,0.89526,0.84944,0.90247,0.65486,0.77357,0.72683,0.69686,0.34976,0.92586,1.31054,3.02481,0.9238,0,0.000583543,0.000583543,0.0412502
7,141.319,1.05954,1.55579,3.14275,0.93286,0,0.84875,0.86318,0.90708,0.65284,0.77418,0.78883,0.76991,0.38153,0.91156,1.3417,3.1398,0.91396,0,0.000679605,0.000679605,0.0313463
8,158.138,1.08794,1.41705,3.10653,0.92518,0,0.86418,0.84411,0.90441,0.60558,0.81563,0.78182,0.82211,0.44527,0.97795,1.25191,2.99237,0.9207,0,0.000775007,0.000775007,0.0214417
9,174.39,1.0772,1.52408,3.00023,0.91377,0,0.91526,0.84043,0.90198,0.63673,0.85343,0.78983,0.82207,0.44193,0.93171,1.11679,2.73891,0.92099,0,0.000869749,0.000869749,0.0115364
10,191.166,1.08032,1.46423,3.14763,0.92379,0,0.81684,0.85441,0.89241,0.62053,0.78308,0.78341,0.80219,0.41893,0.96906,1.13716,3.0217,0.9198,0,0.000963831,0.000963831,0.0016305
11,206.408,1.03432,1.47709,3.0893,0.91035,0,0.87003,0.86594,0.90314,0.61059,0.7826,0.76608,0.77819,0.37746,1.0301,1.0981,3.26072,0.96357,0,0.000967,0.000967,0.000967
12,222.12,1.05163,1.47197,3.17493,0.91762,0,0.81503,0.8377,0.89189,0.63373,0.78773,0.79929,0.81335,0.43726,0.95133,1.05584,3.1992,0.92457,0,0.0009637,0.0009637,0.0009637
13,238.451,1.04895,1.44168,2.88477,0.9092,0,0.8762,0.90256,0.91686,0.67417,0.81536,0.83581,0.81008,0.40744,0.85956,1.19376,2.55433,0.90387,0,0.0009604,0.0009604,0.0009604
14,254.044,1.01711,1.41076,2.83998,0.90608,0,0.91805,0.89132,0.91975,0.67567,0.8478,0.81255,0.82653,0.43534,0.87504,1.09946,2.53849,0.90142,0,0.0009571,0.0009571,0.0009571
15,270.427,1.06425,1.51462,2.75074,0.89598,0,0.9235,0.8616,0.92111,0.60725,0.86013,0.79926,0.83542,0.4625,0.99114,1.18051,2.48168,0.91101,0,0.0009538,0.0009538,0.0009538
16,286.107,1.04077,1.4179,2.66031,0.90126,0,0.93461,0.89724,0.93669,0.67681,0.89202,0.85249,0.89053,0.5057,0.88786,1.05518,2.46519,0.89817,0,0.0009505,0.0009505,0.0009505
17,301.778,1.07107,1.45696,2.68296,0.90665,0,0.91891,0.91014,0.92231,0.63288,0.84793,0.83924,0.84929,0.47603,0.92673,1.09325,2.42738,0.91093,0,0.0009472,0.0009472,0.0009472
18,318.16,1.06017,1.393,2.71663,0.90385,0,0.93329,0.90544,0.92535,0.65862,0.87376,0.83922,0.862,0.45924,0.90702,1.24777,2.42738,0.89948,0,0.0009439,0.0009439,0.0009439
19,334.251,1.06953,1.36932,2.66454,0.9079,0,0.92405,0.88579,0.9273,0.67712,0.87503,0.83699,0.86707,0.46214,0.87773,1.15557,2.42924,0.89914,0,0.0009406,0.0009406,0.0009406
20,350.327,1.00209,1.30644,2.57727,0.8935,0,0.92455,0.86212,0.91561,0.65096,0.89868,0.79266,0.84027,0.44405,0.89303,1.0653,2.40782,0.8977,0,0.0009373,0.0009373,0.0009373
21,366.524,0.99649,1.25698,2.572,0.89655,0,0.95067,0.87657,0.92341,0.69222,0.87,0.79221,0.8214,0.45584,0.83053,0.96239,2.27264,0.90266,0,0.000934,0.000934,0.000934
22,381.817,0.96159,1.35344,2.5386,0.89494,0,0.93372,0.89504,0.92591,0.69372,0.85892,0.81681,0.84176,0.47381,0.82117,0.9855,2.21626,0.89106,0,0.0009307,0.0009307,0.0009307
23,398.605,1.00173,1.36323,2.49132,0.88559,0,0.94949,0.91051,0.9415,0.70501,0.88824,0.84615,0.86647,0.47206,0.79076,1.0023,2.16837,0.87807,0,0.0009274,0.0009274,0.0009274
24,415.21,0.96603,1.37915,2.4727,0.89132,0,0.94258,0.91197,0.93186,0.68143,0.87864,0.85391,0.86916,0.467,0.85902,1.02903,2.26297,0.89307,0,0.0009241,0.0009241,0.0009241
25,432.617,0.96446,1.36976,2.429,0.87932,0,0.95101,0.89349,0.93624,0.68537,0.87642,0.83857,0.85303,0.47016,0.84375,0.97921,2.3145,0.89134,0,0.0009208,0.0009208,0.0009208
26,448.458,0.95514,1.30774,2.45214,0.88562,0,0.9274,0.9028,0.93649,0.70203,0.84305,0.82222,0.83506,0.45272,0.83788,1.0626,2.26689,0.90048,0,0.0009175,0.0009175,0.0009175
27,464.781,0.96461,1.32783,2.37042,0.88392,0,0.93869,0.91488,0.9405,0.71501,0.87713,0.84409,0.87541,0.50149,0.81621,1.00841,2.22279,0.89352,0,0.0009142,0.0009142,0.0009142
28,481.146,0.94139,1.2734,2.46499,0.88668,0,0.92318,0.896,0.93042,0.68836,0.87871,0.82855,0.86977,0.43927,0.82745,1.00567,2.34134,0.89503,0,0.0009109,0.0009109,0.0009109
29,498.019,0.94179,1.29483,2.44693,0.8833,0,0.94739,0.91529,0.93533,0.70951,0.88645,0.82532,0.85711,0.44493,0.81087,1.02491,2.25917,0.8844,0,0.0009076,0.0009076,0.0009076
30,513.749,0.96681,1.34501,2.43229,0.8844,0,0.94807,0.91533,0.93457,0.71207,0.87051,0.81911,0.8261,0.45303,0.80534,0.99866,2.25446,0.88075,0,0.0009043,0.0009043,0.0009043
31,530.448,0.96232,1.29528,2.41741,0.88489,0,0.90853,0.91572,0.93383,0.70516,0.84688,0.85367,0.87795,0.46292,0.7823,0.92931,2.17123,0.87431,0,0.000901,0.000901,0.000901
32,546.526,0.95119,1.22585,2.41154,0.88098,0,0.90239,0.87342,0.92947,0.69046,0.84108,0.82462,0.86251,0.46829,0.8548,0.91483,2.30499,0.88729,0,0.0008977,0.0008977,0.0008977
33,561.962,0.936,1.29265,2.34537,0.8821,0,0.91443,0.90843,0.92435,0.69964,0.8398,0.81724,0.82729,0.43835,0.78492,0.97857,2.26851,0.88223,0,0.0008944,0.0008944,0.0008944
34,577.926,0.93638,1.21054,2.33976,0.88007,0,0.93785,0.9032,0.93413,0.68795,0.87696,0.83255,0.84634,0.45895,0.82562,1.06951,2.1502,0.88251,0,0.0008911,0.0008911,0.0008911
35,594.745,0.94633,1.19428,2.39095,0.87555,0,0.92388,0.90592,0.9307,0.70589,0.84503,0.82108,0.84166,0.43762,0.80151,1.0113,2.12699,0.8847,0,0.0008878,0.0008878,0.0008878
36,608.812,0.92795,1.14872,2.35056,0.88654,0,0.92743,0.90304,0.93655,0.70266,0.84347,0.82475,0.84263,0.44509,0.80025,1.00323,2.12289,0.88014,0,0.0008845,0.0008845,0.0008845
37,624.681,0.95934,1.32764,2.38353,0.86743,0,0.91918,0.89273,0.93525,0.66909,0.83652,0.7919,0.82137,0.4387,0.88474,1.37316,2.31126,0.89146,0,0.0008812,0.0008812,0.0008812
38,641.306,0.96658,1.29151,2.40635,0.87502,0,0.93833,0.90975,0.93908,0.70082,0.88213,0.82745,0.87518,0.48769,0.83135,1.0888,2.20718,0.87492,0,0.0008779,0.0008779,0.0008779
39,658.023,0.97675,1.31209,2.38135,0.8833,0,0.92787,0.90464,0.92865,0.67382,0.89211,0.84277,0.88579,0.50189,0.87801,0.97712,2.17322,0.89227,0,0.0008746,0.0008746,0.0008746
40,674.387,0.9027,1.18655,2.28631,0.86138,0,0.96018,0.90936,0.94239,0.7283,0.89892,0.8269,0.87712,0.46833,0.74677,0.95967,2.06032,0.86275,0,0.0008713,0.0008713,0.0008713
41,689.949,0.91439,1.23664,2.26954,0.87054,0,0.95521,0.88289,0.94057,0.70783,0.92105,0.83677,0.90482,0.49806,0.80862,0.93692,2.169,0.86674,0,0.000868,0.000868,0.000868
42,705.393,0.89298,1.18672,2.25772,0.86478,0,0.95675,0.89337,0.93534,0.71889,0.91374,0.85779,0.89413,0.51579,0.7718,0.91343,2.11466,0.87636,0,0.0008647,0.0008647,0.0008647
43,722.905,0.88582,1.15407,2.21855,0.86967,0,0.94801,0.89757,0.93756,0.74859,0.85368,0.83754,0.85199,0.46107,0.71939,0.96268,2.05951,0.85952,0,0.0008614,0.0008614,0.0008614
44,738.87,0.87248,1.17582,2.22398,0.86204,0,0.95871,0.88558,0.93893,0.72807,0.89079,0.82004,0.86797,0.49345,0.76963,0.89643,2.09998,0.86738,0,0.0008581,0.0008581,0.0008581
45,754.578,0.88342,1.18097,2.20328,0.86752,0,0.94741,0.91589,0.94748,0.71794,0.88115,0.83127,0.8475,0.45417,0.76625,0.88614,2.08862,0.87327,0,0.0008548,0.0008548,0.0008548
46,770.362,0.93384,1.26752,2.27122,0.86223,0,0.93104,0.92239,0.94951,0.71965,0.86273,0.82438,0.84236,0.43674,0.78983,0.89403,2.11501,0.8736,0,0.0008515,0.0008515,0.0008515
47,787.326,0.89037,1.2815,2.23744,0.86716,0,0.95294,0.91856,0.94323,0.714,0.89995,0.83596,0.87836,0.50149,0.79437,0.85516,2.09987,0.86809,0,0.0008482,0.0008482,0.0008482
48,803.202,0.90992,1.23078,2.22741,0.86646,0,0.94935,0.9259,0.94571,0.73608,0.87466,0.82921,0.83836,0.46971,0.74181,0.89638,1.993,0.85928,0,0.0008449,0.0008449,0.0008449
49,819.688,0.86814,1.19899,2.11032,0.84865,0,0.94607,0.92445,0.95031,0.74394,0.86737,0.84082,0.86568,0.47918,0.74456,0.85221,1.95393,0.86457,0,0.0008416,0.0008416,0.0008416
50,835.666,0.91719,1.17702,2.19154,0.85532,0,0.9314,0.91689,0.94276,0.71866,0.86138,0.82538,0.85528,0.46138,0.78609,0.82275,2.08749,0.86874,0,0.0008383,0.0008383,0.0008383
51,852.959,0.87601,1.15404,2.13868,0.85294,0,0.92218,0.90762,0.94386,0.7237,0.89944,0.82675,0.87904,0.47797,0.77242,0.85799,2.0896,0.87456,0,0.000835,0.000835,0.000835
52,868.839,0.85129,1.12624,2.15833,0.87019,0,0.94302,0.93334,0.95678,0.7305,0.88101,0.83306,0.86377,0.46914,0.74466,0.90879,1.99702,0.86151,0,0.0008317,0.0008317,0.0008317
53,885.129,0.90422,1.25762,2.18642,0.86338,0,0.95413,0.92196,0.94947,0.72019,0.87431,0.86756,0.8807,0.51142,0.80212,0.98629,2.04636,0.86947,0,0.0008284,0.0008284,0.0008284
54,901.092,0.89029,1.22031,2.24014,0.8622,0,0.9383,0.92187,0.93955,0.72286,0.8937,0.83983,0.8761,0.48911,0.78381,0.94707,2.11045,0.87071,0,0.0008251,0.0008251,0.0008251
55,916.988,0.87178,1.17182,2.21073,0.86174,0,0.91863,0.90336,0.93998,0.72271,0.85846,0.84345,0.87922,0.48787,0.78481,0.94292,2.10988,0.86864,0,0.0008218,0.0008218,0.0008218
56,932.435,0.88096,1.16638,2.2194,0.86335,0,0.94477,0.91285,0.95362,0.72782,0.90744,0.85816,0.91119,0.53987,0.77279,0.87475,2.11415,0.86104,0,0.0008185,0.0008185,0.0008185
57,948.051,0.87317,1.17639,2.18241,0.85385,0,0.98236,0.89138,0.95156,0.72877,0.92739,0.83414,0.91685,0.5356,0.77112,0.86216,2.06384,0.86375,0,0.0008152,0.0008152,0.0008152
58,963.787,0.88044,1.15263,2.22211,0.8619,0,0.91103,0.93137,0.94719,0.74413,0.86285,0.7892,0.84941,0.46102,0.73683,0.84157,2.08451,0.85686,0,0.0008119,0.0008119,0.0008119
59,979.781,0.87032,1.20103,2.16151,0.851,0,0.92969,0.92027,0.94277,0.73506,0.84937,0.85826,0.89338,0.51428,0.73952,0.81332,2.0545,0.85792,0,0.0008086,0.0008086,0.0008086
60,996.083,0.87772,1.15453,2.12052,0.8507,0,0.96374,0.91173,0.95239,0.72061,0.89824,0.84223,0.88648,0.48851,0.78142,0.8542,1.99915,0.87326,0,0.0008053,0.0008053,0.0008053
61,1011.91,0.86105,1.11165,2.10094,0.85468,0,0.9713,0.91977,0.96209,0.76221,0.90766,0.83338,0.8898,0.49569,0.72096,0.85563,1.87136,0.86097,0,0.000802,0.000802,0.000802
62,1027.73,0.85678,1.1127,2.05433,0.84943,0,0.9595,0.92423,0.96179,0.72409,0.88566,0.84627,0.89321,0.50375,0.79818,0.92327,1.97313,0.86318,0,0.0007987,0.0007987,0.0007987
63,1044.05,0.84412,1.13664,2.07355,0.86072,0,0.94925,0.92807,0.95297,0.73139,0.86509,0.84161,0.87871,0.48486,0.76604,0.89752,1.92271,0.85737,0,0.0007954,0.0007954,0.0007954
64,1060.11,0.83311,1.14333,2.04837,0.84879,0,0.95782,0.91698,0.95265,0.7478,0.87864,0.81963,0.85477,0.48282,0.7235,0.83352,1.93152,0.85749,0,0.0007921,0.0007921,0.0007921
65,1074.72,0.82257,1.11132,2.00597,0.84399,0,0.9585,0.91131,0.95827,0.75853,0.90899,0.84583,0.91515,0.51842,0.73314,0.84628,1.94769,0.85598,0,0.0007888,0.0007888,0.0007888
66,1091.25,0.81639,1.11365,1.98464,0.83923,0,0.9644,0.91946,0.96223,0.75971,0.91233,0.83949,0.90253,0.47949,0.70688,0.8619,1.83834,0.85367,0,0.0007855,0.0007855,0.0007855
67,1106.72,0.79866,1.10642,2.01597,0.84612,0,0.96947,0.92009,0.95924,0.75138,0.90313,0.84414,0.87349,0.48903,0.72863,0.88007,1.83469,0.85056,0,0.0007822,0.0007822,0.0007822
68,1123.12,0.81325,1.0162,1.98894,0.84597,0,0.95048,0.91737,0.9542,0.74146,0.88429,0.84837,0.87092,0.46373,0.73938,0.87156,1.86072,0.85134,0,0.0007789,0.0007789,0.0007789
69,1139.84,0.79487,1.05928,1.98622,0.85141,0,0.94146,0.93578,0.95035,0.73757,0.87712,0.858,0.8815,0.49359,0.743,0.85254,1.85645,0.85268,0,0.0007756,0.0007756,0.0007756
70,1156.16,0.8361,1.12197,2.01302,0.84647,0,0.95301,0.93301,0.95114,0.73084,0.8947,0.86659,0.89452,0.50242,0.76186,0.79708,1.87473,0.85132,0,0.0007723,0.0007723,0.0007723
71,1170.94,0.84797,1.16423,2.03729,0.85829,0,0.96739,0.92061,0.95444,0.7195,0.9068,0.85216,0.88267,0.49279,0.80754,0.89754,1.93736,0.85863,0,0.000769,0.000769,0.000769
72,1187.58,0.83529,1.09216,2.06003,0.85258,0,0.93781,0.92338,0.95745,0.75466,0.87012,0.86974,0.88017,0.50637,0.73404,0.81173,1.91146,0.84889,0,0.0007657,0.0007657,0.0007657
73,1203.01,0.84498,1.06288,2.07361,0.85044,0,0.93344,0.91531,0.94236,0.68391,0.85188,0.83217,0.83813,0.45036,0.86827,0.89209,2.10676,0.86642,0,0.0007624,0.0007624,0.0007624
74,1219.64,0.85302,1.13044,2.05748,0.84709,0,0.92798,0.92375,0.94566,0.72458,0.85896,0.84742,0.86425,0.47862,0.7583,0.86064,1.98452,0.86764,0,0.0007591,0.0007591,0.0007591
75,1234.46,0.8396,1.0861,2.02047,0.84987,0,0.95017,0.92399,0.9588,0.75591,0.86756,0.85626,0.88508,0.51191,0.72042,0.87397,1.90055,0.85711,0,0.0007558,0.0007558,0.0007558
76,1250.48,0.82005,1.02218,2.01427,0.84923,0,0.95885,0.92982,0.96013,0.76341,0.85931,0.83745,0.87422,0.47222,0.7206,0.90631,1.90558,0.8549,0,0.0007525,0.0007525,0.0007525
77,1265.71,0.81351,1.12382,1.99963,0.84396,0,0.94901,0.94214,0.95969,0.77841,0.85914,0.85485,0.87461,0.49983,0.68712,0.979,1.79307,0.85125,0,0.0007492,0.0007492,0.0007492
78,1282.37,0.81225,1.08539,1.98831,0.84465,0,0.94938,0.92332,0.9553,0.75709,0.90521,0.85478,0.89121,0.51975,0.72749,0.90276,1.84612,0.854,0,0.0007459,0.0007459,0.0007459
79,1298.87,0.82768,1.11046,1.97154,0.84417,0,0.95398,0.91733,0.95126,0.72182,0.87936,0.82745,0.86046,0.47283,0.76297,0.93947,1.9148,0.85655,0,0.0007426,0.0007426,0.0007426
80,1315.13,0.82388,1.15069,2.00756,0.84711,0,0.9478,0.91696,0.945,0.74402,0.88753,0.85267,0.89515,0.50571,0.71192,0.92945,1.84723,0.86068,0,0.0007393,0.0007393,0.0007393
81,1330.77,0.82174,1.09794,1.98257,0.83576,0,0.93582,0.91824,0.94831,0.75665,0.87431,0.82181,0.87001,0.47498,0.69828,0.85856,1.87704,0.85896,0,0.000736,0.000736,0.000736
82,1348.29,0.83051,1.11675,2.00374,0.84533,0,0.95037,0.93023,0.94899,0.73311,0.88654,0.84955,0.89458,0.50326,0.76624,0.85787,1.87209,0.85929,0,0.0007327,0.0007327,0.0007327
83,1363.76,0.82806,1.10615,2.00805,0.84534,0,0.94793,0.91208,0.95093,0.75798,0.88655,0.79584,0.85569,0.48687,0.72074,0.83027,1.8976,0.85914,0,0.0007294,0.0007294,0.0007294
84,1380.08,0.82362,1.05142,2.0044,0.8425,0,0.93383,0.9104,0.94248,0.73543,0.87198,0.83315,0.87514,0.50403,0.73612,0.8474,1.96758,0.85525,0,0.0007261,0.0007261,0.0007261
85,1394.82,0.80154,1.02858,1.96056,0.84856,0,0.95612,0.91711,0.95978,0.73948,0.89688,0.85423,0.88876,0.50279,0.72756,0.83956,1.86853,0.85396,0,0.0007228,0.0007228,0.0007228
86,1410.88,0.80783,1.12476,1.9441,0.83745,0,0.96506,0.91887,0.96315,0.74431,0.90042,0.83932,0.88958,0.49294,0.71811,0.83602,1.87773,0.85529,0,0.0007195,0.0007195,0.0007195
87,1426.27,0.82142,1.1072,1.97754,0.85237,0,0.9649,0.92096,0.96192,0.72364,0.93349,0.8529,0.93305,0.53036,0.78734,0.85565,1.86367,0.85361,0,0.0007162,0.0007162,0.0007162
88,1443,0.82906,1.11409,1.96356,0.83993,0,0.95679,0.93077,0.95844,0.74923,0.89078,0.85388,0.87862,0.4981,0.72046,0.86095,1.82128,0.84926,0,0.0007129,0.0007129,0.0007129
89,1458.99,0.82992,1.0693,1.99644,0.84511,0,0.96107,0.9205,0.95203,0.74155,0.87063,0.82782,0.85777,0.49151,0.73597,0.82883,1.81739,0.85212,0,0.0007096,0.0007096,0.0007096
90,1474.83,0.8316,1.15866,1.98207,0.84882,0,0.95913,0.92235,0.9488,0.73695,0.90463,0.86064,0.89054,0.52439,0.73387,0.83468,1.8857,0.85673,0,0.0007063,0.0007063,0.0007063
91,1490.3,0.79222,1.09752,1.94181,0.83848,0,0.95591,0.92096,0.95254,0.76149,0.86214,0.84297,0.86251,0.45982,0.69443,0.94481,1.87379,0.85131,0,0.000703,0.000703,0.000703
92,1506.44,0.81713,1.07847,1.95417,0.84778,0,0.94602,0.92898,0.94824,0.75127,0.88598,0.87507,0.88089,0.4994,0.70001,0.88329,1.83388,0.85179,0,0.0006997,0.0006997,0.0006997
93,1522.78,0.78934,1.04954,1.90122,0.83739,0,0.9362,0.92394,0.94897,0.73318,0.87499,0.85993,0.8818,0.48664,0.73764,0.93046,1.90013,0.85614,0,0.0006964,0.0006964,0.0006964
94,1538.53,0.76748,1.02533,1.90802,0.83723,0,0.95612,0.91145,0.9497,0.74406,0.88185,0.87822,0.89663,0.49442,0.70517,0.88807,1.87598,0.85593,0,0.0006931,0.0006931,0.0006931
95,1554.19,0.80995,1.10197,1.94332,0.84271,0,0.94275,0.92718,0.94746,0.7058,0.88456,0.90355,0.90606,0.52496,0.85211,1.00374,1.92839,0.8685,0,0.0006898,0.0006898,0.0006898
96,1570.45,0.8107,1.07964,1.91481,0.8343,0,0.96008,0.92679,0.95124,0.75114,0.8939,0.85908,0.89377,0.52134,0.7006,0.85045,1.84394,0.85335,0,0.0006865,0.0006865,0.0006865
97,1586.93,0.79723,1.08249,1.97109,0.8371,0,0.9512,0.91021,0.95139,0.74294,0.88952,0.83922,0.89946,0.51956,0.71186,0.83042,1.86364,0.8526,0,0.0006832,0.0006832,0.0006832
98,1602.96,0.81104,1.0925,1.96893,0.84087,0,0.96301,0.93267,0.96064,0.75566,0.88894,0.86271,0.90603,0.50485,0.71277,0.81274,1.85893,0.85754,0,0.0006799,0.0006799,0.0006799
99,1619.63,0.83798,1.20982,1.94446,0.83294,0,0.96669,0.90246,0.9655,0.7534,0.87348,0.85675,0.89475,0.52309,0.73178,0.81739,1.84861,0.85659,0,0.0006766,0.0006766,0.0006766
100,1635.51,0.78673,1.09123,1.91768,0.8403,0,0.98043,0.9205,0.96631,0.78445,0.92871,0.83016,0.90821,0.5093,0.65304,0.83698,1.73845,0.843,0,0.0006733,0.0006733,0.0006733
101,1650.93,0.79654,1.06506,1.88901,0.83078,0,0.97712,0.91911,0.96074,0.76324,0.89088,0.87898,0.90461,0.50529,0.68306,0.79942,1.78278,0.84655,0,0.00067,0.00067,0.00067
